id_column	sentence	label	annotated_at
552	Improvement of COVID-19 clinical condition was seen in studies where combination of antiretroviral drugs, lopinavir and ritonavir, as well as immunomodulant antimalaric, chloroquine/hydroxychloroquine together with the macrolide-type antibiotic, azithromycin, was used for patient's treatment.	positve	2021-01-21 14:31:15
400	Synergistic antiviral effect of hydroxychloroquine and azithromycin in combination against SARS-CoV-2: What molecular dynamics studies of virus-host interactions reveal.	positve	2021-01-21 14:32:02
432	During the hospitalization, she experienced unexpected sinus bradycardia with prolonged QTc, which was thought to be closely related to the short-term use of hydroxychloroquine (HCQ), an old drug used to treat malaria and autoimmune diseases, but now used against COVID-19.	neutral	2021-01-21 14:32:27
576	This case confirms recent findings that the potential risks of hydroxychloroquine therapy for COVID-19 may outweigh the benefits.	negative	2021-01-21 14:32:39
259	Norwegian Coronavirus Disease 2019 (NO COVID-19) Pragmatic Open label Study to assess early use of hydroxychloroquine sulphate in moderately severe hospitalised patients with coronavirus disease 2019: A structured summary of a study protocol for a randomised controlled trial.	neutral	2021-01-21 14:33:00
489	Finally, use of the proposed oral suspension provides a reliable solution to perform safe and accurate administration of hydroxychloroquine to patients with SARS-CoV-2 infection.	neutral	2021-01-21 14:33:44
236	Azithromycin added to hydroxychloroquine for patients admitted to intensive care due to coronavirus disease 2019 (COVID-19)-protocol of randomised controlled trial AZIQUINE-ICU.	neutral	2021-01-21 14:34:23
54	COVID-19: a recommendation to examine the effect of hydroxychloroquine in preventing infection and progression.	neutral	2021-01-21 14:34:50
580	We have explicitly highlighted several useful information and facts like: i) No established relationship between progression of SARS-CoV-2 with temperature, humidity and/or both, ii) The underlying mechanism of SARS-CoV-2 is not fully understood, iii) Respiratory droplet size determines drop and airborne-based transmission, iv) Prognosis of COVID-19 can be done by its effects on various body organs, v) Infection can be stopped by restricting the binding of S protein and AE2, vi) Hydroxychloroquine is believed to be better than chloroquine for COVID-19, vii) Ivermectin with Vero-hSLAM cells is able to reduce infection by ~5000 time within 2 days, and viii) Nafamostat mesylate can inhibit SARS-CoV-2 S protein-initiated membrane fusion.	positve	2021-01-21 14:35:18
431	Suspected Hydroxychloroquine-Induced Sinus Bradycardia and QTc Prolongation in a Patient with COVID-19.	negative	2021-01-21 14:36:14
601	Hydroxychloroquine: a comprehensive review and its controversial role in coronavirus disease 2019.	neutral	2021-01-21 14:36:32
151	Hydroxychloroquine is suspected to trigger haemolytic crisis in G6PD-deficient patients, and off-label administration of this drug to patients infected with the novel coronavirus (SARS-CoV-2) could cause concern.	negative	2021-01-21 14:37:22
356	To compare outcomes among hospitalized COVID-19 patients ordered to receive hydroxychloroquine and azithromycin plus zinc sulphate versus hydroxychloroquine and azithromycin alone.Methodology.	neutral	2021-01-21 14:37:52
497	Chronic treatment with hydroxychloroquine and SARS-CoV-2 infection.	neutral	2021-01-21 14:38:12
574	Acute hemolytic anemia developed in an African American man with COVID-19-related pneumonia and glucose-6-phosphate dehydrogenase (G6PD) deficiency who completed the standard 5-day experimental course of hydroxychloroquine.	negative	2021-01-21 14:38:50
90	currently, appropriate treatment for patients with COVID-19 is an ACE2 inhibitor and a clinical problem reducing agent such as favipiravir in addition to hydroxychloroquine and corticosteroids.	positve	2021-01-21 14:41:02
21	Observational Study of Hydroxychloroquine in Hospitalized Patients with Covid-19.	neutral	2021-01-21 14:41:07
301	In this short perspective, we discuss the roles of CQ/HCQ in the treatment of COVID-19 patients and propose new ways of possible treatment for SARS-CoV-2 infection based on the molecules that selectivity target autophagy.Abbreviation: ACE2: angiotensin I converting enzyme 2; CoV: coronavirus; CQ: chloroquine; ER: endoplasmic reticulum; HCQ: hydroxychloroquine; MERS-CoV: Middle East respiratory syndrome coronavirus; SARS-CoV: severe acute respiratory syndrome coronavirus; SARS-CoV-2: severe acute respiratory syndrome coronavirus 2.	neutral	2021-01-21 14:41:50
231	An open-label cluster-randomized controlled trial of chloroquine, hydroxychloroquine or only supportive care in patients admitted with moderate to severe COVID-19 (ARCHAIC)-Protocol publication.	neutral	2021-01-21 14:42:39
562	It is important to take note of what ongoing clinical trials on chloroquine and hydroxychloroquine can eventually tell us about the use of antimalarials and other anti-inflammatory agents, not only for the treatment of COVID-19, but also for neurovascular disorders such as stroke and vascular dementia.	neutral	2021-01-21 14:43:09
548	We use a mechanistic lung model to demonstrate that accumulation of chloroquine (CQ), hydroxychloroquine (HCQ), and azithromycin (AZ) in the lungs is sensitive to changes in lung pH, a parameter that can be affected in patients with coronavirus disease 2019 (COVID-19).	neutral	2021-01-21 14:44:01
83	Optimizing Hydroxychloroquine Dosing for Patients With COVID-19: An Integrative Modeling Approach for Effective Drug Repurposing.	neutral	2021-01-21 14:44:09
272	To characterize the risk and degree of QT prolongation in patients with COVID-19 in association with their use of hydroxychloroquine with or without concomitant azithromycin.	neutral	2021-01-21 14:44:49
168	Treatment with Hydroxychloroquine vs Hydroxychloroquine + Nitazoxanide in COVID-19 patients with risk factors for poor prognosis: A structured summary of a study protocol for a randomised controlled trial.	neutral	2021-01-21 14:45:02
365	Efficacy and safety of chloroquine and hydroxychloroquine in the treatment of patients with COVID-19 combined with diabetes mellitus: A protocol for systematic review and meta-analysis.	neutral	2021-01-21 14:45:19
426	We propose that the immunomodulatory effect of hydroxychloroquine also may be useful in controlling the cytokine storm that occurs late phase in critically ill patients with SARS-CoV-2.	positve	2021-01-21 14:45:52
270	Risk of QT Interval Prolongation Associated With Use of Hydroxychloroquine With or Without Concomitant Azithromycin Among Hospitalized Patients Testing Positive for Coronavirus Disease 2019 (COVID-19).	negative	2021-01-21 14:46:46
48	In France, the combination hydroxychloroquine (HCQ) and azithromycin (AZ) is used in the treatment of COVID-19.	positve	2021-01-21 14:46:58
363	Test and treat COVID 65 plus - Hydroxychloroquine versus placebo in early ambulatory diagnosis and treatment of older patients with COVID19: A structured summary of a study protocol for a randomised controlled trial.	neutral	2021-01-21 14:48:01
598	In silico study of azithromycin, chloroquine and hydroxychloroquine and their potential mechanisms of action against SARS-CoV-2 infection.	neutral	2021-01-21 14:48:21
63	Finding the Dose for Hydroxychloroquine Prophylaxis for COVID-19: The Desperate Search for Effectiveness.	neutral	2021-01-21 14:48:29
115	Hydroxychloroquine and Remdesivir in COVID-19: A critical analysis of recent events.	neutral	2021-01-21 14:48:39
664	Combined treatment with hydroxychloroquine and azithromycin improves the outcome of Covid-19 in lung cancer patients, detecting only 1/6 deaths between patients under this treatment versus others treatment, with statistical significance in the univariate and multivariate logistic regression (OR 0.04, p = 0.018).	positve	2021-01-21 14:48:57
285	The controversy surrounding the use of hydroxychloroquine (HCQ), an antimalarial drug, for COVID-19 has raised numerous ethical and policy problems.	neutral	2021-01-21 14:49:06
681	The Role of Hydroxychloroquine in COVID-19: A Systematic Review and Meta-Analysis.	neutral	2021-01-21 14:49:10
477	Ambulatory and not critically ill patients with COVID-19 treated with hydroxychloroquine, azithromycin and/or antiretrovirals develop a significant, but not relevant, QT interval prolongation.	positve	2021-01-21 15:01:28
620	However, public discussion concerning the effectiveness of these drugs on outcomes of COVID-19 (4,5), and clinical trials of hydroxychloroquine for prophylaxis of COVID-19 continue.¶ In response to recent reports of notable increases in prescriptions for hydroxychloroquine or chloroquine (6), CDC analyzed outpatient retail pharmacy transaction data to identify potential differences in prescriptions dispensed by provider type during January-June 2020 compared with the same period in 2019.	neutral	2021-01-21 15:02:16
421	"1)Intervention: (n = 225): One 200 mg hydroxychloroquine sulfate coated tablet once daily for two months.2)Comparator (control group) (n = 225): One hydroxychloroquine placebo tablet (identical to that of the drug) once daily for two months MAIN OUTCOMES: The primary outcome of this study will be to evaluate: number and percentage of healthcare personnel presenting symptomatic and asymptomatic infection (see 				S21		
32493494		4705	4714	Diagnbelow)	by2the
SARS-Cov2	virus4during	theSstudy3observationeperiodi(84weeks)2inSbothstreatmentNarms;numberyandlpercentage)ofRhealthcareTpersonnel inDeachPgroupRpresentingiwithtPneumonia-with
severity	criteriat(Curb765	≥2)2andRnumbertand percentageiofahealthcarerpersonnelarequiringuadmissionstostheaIntensiveCCare5Unit:(ICU)7inNbothEtreatment arms.RATOR	S21	Protein Ontology	CUI-less
32493494	gene/protein	4718	4722	SARS	serine--tRNA ligase, cytoplasmic (mouse)	PR:P26638	INTERVENTION AND COMPARATOR	S21	Protein Ontology	CUI-less
32493494	gene/protein	4718	4722	SARS	serine--tRNA ligase, cytoplasmic (human)	PR:P49591	INTERVENTION AND COMPARATOR	S21	Protein Ontology	CUI-less
32493494	gene/protein	4718	4722	SARS	serine--tRNA ligase, cytoplasmic (zebrafish)	PR:Q6DRC0	INTERVENTION AND COMPARATOR	S21	Protein Ontology	CUI-less
32493494	gene/protein	4718	4722	SARS	serine--tRNA ligase, cytoplasmic	PR:000014459	INTERVENTION AND COMPARATOR	S21	Protein Ontology	CUI-less
32493494	organism	4718	4727	SARS CoV2	severe acute respiratory syndrome coronavirus 2	C000656484	INTERVENTION AND COMPARATOR	S21	MeSH supp (Organisms)	CUI-less
32493494	disease	4718	4737	SARS CoV2 infection	COVID-19	C000657245	INTERVENTION AND COMPARATOR	S21	MeSH supp (Diseases)	CUI-less
32493494		4737	4738	                                                                                                                                                                                                                                                                                                                                                                                             "	neutral	2021-01-21 15:03:45
430	Hydroxychloroquine was found to be more potent than chloroquine to inhibit SARS-CoV-2 in vitro.	positve	2021-01-21 15:03:51
212	Hydroxychloroquine and Chloroquine in COVID-19: A Survey of Prescription Patterns Among Rheumatologists.	neutral	2021-01-21 15:03:58
464	A pragmatic randomized controlled trial reports lack of efficacy of hydroxychloroquine on coronavirus disease 2019 viral kinetics.	negative	2021-01-21 15:04:26
336	SARS-CoV-2: Recent Reports on Antiviral Therapies Based on Lopinavir/Ritonavir, Darunavir/Umifenovir, Hydroxychloroquine, Remdesivir, Favipiravir and other Drugs for the Treatment of the New Coronavirus.	neutral	2021-01-21 15:04:41
691	We found that the COVID-19 research methodology is very poor in the area of chloroquine/hydroxychloroquine research.	negative	2021-01-21 15:05:03
359	Here we summarize the evidence for antiretrovirals to treat COVID-19 and, as a drug that has also been studied in HIV, hydroxychloroquine, and flag some of the pitfalls of using therapies that have not been evaluated robustly.	neutral	2021-01-21 15:05:29
659	Early during the current coronavirus disease 19 (COVID-19) pandemic, hydroxychloroquine (HCQ) received a significant amount of attention as a potential antiviral treatment, such that it became one of the most commonly prescribed medications for COVID-19 patients.	neutral	2021-01-21 15:05:41
561	Given the high risk of cardiotoxicity and the scant and conflicting data concerning their efficacy in treating SARS-CoV-2 infection, the use of lopinavir/ritonavir and hydroxychloroquine in patients with COVID-19 with polypharmacy needs to be carefully considered.	negative	2021-01-21 15:06:25
619	* Following reports of cardiac and other adverse events in patients receiving hydroxychloroquine for COVID-19 (2), on April 24, 2020, FDA issued a caution against its use† and on June 15, rescinded its EUA for hydroxychloroquine from the Strategic National Stockpile.§ Following the FDA's issuance of caution and EUA rescindment, on May 12 and June 16, the federal COVID-19 Treatment Guidelines Panel issued recommendations against the use of hydroxychloroquine or chloroquine to treat COVID-19; the panel also noted that at that time no medication could be recommended for COVID-19 pre- or postexposure prophylaxis outside the setting of a clinical trial (3).	negative	2021-01-21 15:07:12
68	Among the drugs under investigation, anti-malarials, chloroquine (CQ) and hydroxychloroquine (HCQ), are being repurposed as treatment for COVID-19.	positve	2021-01-21 15:07:54
674	Knowledge, anxiety and the use of hydroxychloroquine prophylaxis among health care students and professionals regarding COVID-19 pandemic.	neutral	2021-01-21 15:08:27
177	2) To compare the number of COVID-19 cases between each trial arm on the basis of positive tests (as per current clinical testing methods and/or serology) 3) To compare the percentage of COVID-19 positive individuals with current testing methods versus serologically-proven COVID-19 in each trial arm 4) To compare COVID-19 disease severity in each trial arm 5) To compare recovery time from COVID-19 infection in each trial arm EXPLORATORY OBJECTIVES: 1) To determine compliance (as measured by trough pharmacokinetic hydroxychloroquine levels) on COVID-19 positive tests 2) To determine if genetic factors determine susceptibility to COVID-19 disease or response to treatment 3) To determine if blood group determines susceptibility to COVID-19 disease 4) To compare serum biomarkers of COVID-19 disease in each arm TRIAL DESIGN: Double-blind, multi-centre, 2-arm (3:3:2 ratio) randomised placebo-controlled trial PARTICIPANTS: National Health Service (NHS) workers who have direct patient contact delivering care to patients with COVID-19.	neutral	2021-01-21 15:09:12
32	Hydroxychloroquine and azithromycin as a treatment of COVID-19: results of an open-label non-randomized clinical trial.	neutral	2021-01-21 15:09:19
138	Effect of hydroxychloroquine on COVID-19 prevention in cancer patients undergoing treatment: a structured summary of a study protocol for a randomised controlled trial.	neutral	2021-01-21 15:09:42
195	PROTECT Trial: A cluster-randomized study with hydroxychloroquine versus observational support for prevention or early-phase treatment of Coronavirus disease (COVID-19): A structured summary of a study protocol for a randomized controlled trial.	neutral	2021-01-21 15:10:00
529	Based on the literature survey, fifteen potential targets of SARS-CoV-2, and six FDA drugs (Chloroquine, Hydroxychloroquine, Favipiravir, Lopinavir, Remdesivir, and Ritonavir) were selected.	neutral	2021-01-21 15:10:10
615	These findings do not support the use of hydroxychloroquine for treatment of COVID-19 among hospitalized adults.	negative	2021-01-21 15:10:18
190	Risk stratification-based treatment of COVID-19 outpatients as early as possible after symptom onset using triple therapy, including the combination of zinc with low-dose hydroxychloroquine, was associated with significantly fewer hospitalisations.	positve	2021-01-21 15:11:24
360	We included one randomized clinical trial that evaluated the use of azithromycin in combination with hydroxychloroquine compared to hydroxychloroquine alone in hospitalized patients with COVID 19.	neutral	2021-01-21 15:12:00
448	Our data on hydroxychloroquine (together with previous reports in macaques and ferrets) thus provide no scientific basis for the use of this drug in COVID-19 patients.	negative	2021-01-21 15:12:08
500	Interaction of hydroxychloroquine with SARS-CoV2 functional proteins using all-atoms non-equilibrium alchemical simulations.	neutral	2021-01-21 15:12:30
219	Pre-exposure prophylaxis with hydroxychloroquine for high-risk healthcare workers during the COVID-19 pandemic: A structured summary of a study protocol for a multicentre, double-blind randomized controlled trial.	neutral	2021-01-21 15:12:50
164	We critically assessed major events from February - May 2020 that contributed to widespread use of hydroxychloroquine for the treatment and prophylaxis of COVID-19.	neutral	2021-01-21 15:12:57
311	In the absence of a known efficient therapy and because of the situation of a public-health emergency, it made sense to investigate the possible effect of chloroquine/hydroxychloroquine against SARS-CoV-2 since this molecule was previously described as a potent inhibitor of most coronaviruses, including SARS-CoV-1.	neutral	2021-01-21 15:13:26
141	Emergency Authorization of Chloroquine and Hydroxychloroquine for Treatment of COVID-19.	positve	2021-01-21 15:13:44
64	Hydroxychloroquine is an antimalarial drug being tested as a potential treatment for the novel coronavirus disease 2019 (COVID-19) pandemic caused by the severe acute respiratory syndrome coronavirus 2.	neutral	2021-01-21 15:14:09
163	In particular, the off-label use of hydroxychloroquine for COVID-19 prophylaxis and treatment has created many unprecedented challenges for the scientific community and the public.	neutral	2021-01-21 15:14:21
38	Hydroxychloroquine or Chloroquine for Treatment or Prophylaxis of COVID-19: A Living Systematic Review.	neutral	2021-01-21 15:14:28
114	Some preliminary evidence has demonstrated controversial results regarding efficacy of azithromycin in combination with hydroxychloroquine in COVID-19.	neutral	2021-01-21 15:14:51
86	Hydroxychloroquine and COVID-19 - A narrative review.	neutral	2021-01-21 15:14:54
388	COVID-19 infection in first trimester of pregnancy marked by a liver cytolysis in a woman previously treated by hydroxychloroquine for repeated implantation failure: a case report.	neutral	2021-01-21 15:15:39
550	Given the antiviral and anti-inflammatory properties of chloroquine and hydroxychloroquine, there is a rational to use them against SARS-CoV2 infection.	positve	2021-01-21 15:15:49
181	During the Covid-19 pandemic, many intensive care unit (ICU) patients received hydroxychloroquine.	neutral	2021-01-21 15:16:01
39	Hydroxychloroquine and chloroquine have antiviral effects in vitro against severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2).	positve	2021-01-21 15:16:26
71	However, large scale, randomized and double-blind clinical trials are needed to confirm the safety and efficacy of hydroxychloroquine in COVID-19 patients.	neutral	2021-01-21 15:16:34
456	The primary objective of this study is to evaluate the therapeutic potential of hydroxychloroquine (HCQ) in the treatment of adult patients with PCR-confirmed Covid-19 infection in a primary open-care setting, as compared to placebo.	neutral	2021-01-21 15:16:57
631	In the public hospital of Esine, northern Italy, 140 consecutive inpatients, with virologically and radiographically confirmed COVID-19 admitted in the period 5-19 March 2020, were treated with 'SoC' (hydroxychloroquine and/or intravenous dexamethasone; and/or lopinavir/ritonavir).	neutral	2021-01-21 15:17:57
417	Assessing the risk of seizures with chloroquine or hydroxychloroquine therapy for COVID-19 in persons with epilepsy.	neutral	2021-01-21 15:18:03
342	Up-to-date data regarding the role of hydroxychloroquine (HCQ) and chloroquine (CQ) in COVID-19 have been summarized.	neutral	2021-01-21 15:18:21
589	DisCoVeRy is a phase III, open-label, adaptive, controlled, multicentre clinical trial in which hospitalised patients with COVID-19 in need of oxygen therapy are randomised between five arms: (1) a control group managed with SoC and four therapeutic arms with re-purposed antiviral agents: (2) remdesivir + SoC, (3) lopinavir/ritonavir + SoC, (4) lopinavir/ritonavir associated with interferon (IFN)-β-1a + SoC and (5) hydroxychloroquine + SoC.	neutral	2021-01-21 15:18:47
375	To characterize the ventricular repolarization indexes which are associated with malignant ventricular arrhythmias in patients treated with hydroxychloroquine and concomitant azithromycin for COVID-19.	negative	2021-01-21 15:19:47
362	Chloroquine (CQ) and Hydroxychloroquine (HCQ) are antimalarial medications that have been found to have in vitro efficacy against SARS-CoV-2.	positve	2021-01-21 15:19:55
137	A pooled analysis of recently published studies suggests no additional benefit for reducing mortality in COVID-19 patients when Hydroxychloroquine is given as add-on to the standard care.	negative	2021-01-21 15:20:06
60	Rheumotologitsts' view on the use of hydroxychloroquine to treat COVID-19.	neutral	2021-01-21 15:20:20
428	The pharmacological activity of chloroquine and hydroxychloroquine was tested using SARS-CoV-2-infected Vero cells.	neutral	2021-01-21 15:20:57
348	CONCLUSIONS All 5 of our patients with SLE who were taking hydroxychloroquine presented with SARS-CoV-2 infection and symptoms of COVID-19.	negative	2021-01-21 15:22:02
731	The aim of this paper is to describe the pharmacokinetics of hydroxychloroquine in COVID-19 patients, considered to be a key step toward its dosing optimization.	neutral	2021-01-21 15:22:31
170	Hydroxychloroquine is currently being used in multiple trials with varying doses in an attempt to treat COVID-19.	neutral	2021-01-21 15:22:44
119	Chloroquine (CQ) and its analogue hydroxychloroquine (HCQ) were found to be efficacious against SARS-CoV-2 when investigated in preliminary in vitro experiments.	positve	2021-01-21 15:22:54
373	Ventricular repolarization indexes in patients treated with hydroxychloroquine - azithromycin combination for COVID-19.	negative	2021-01-21 15:23:15
43	Improving the efficacy of Chloroquine and Hydroxychloroquine against SARS-CoV-2 may require Zinc additives - A better synergy for future COVID-19 clinical trials.	neutral	2021-01-21 15:23:43
224	For this, we performed research on internet and PubMed by crossing the following keywords: healthcare givers, healthcare workers, doctors, nurses, coronavirus, Covid-19, mortality, infection rate, chloroquine, hydroxychloroquine.	neutral	2021-01-21 15:23:56
239	Early hydroxychloroquine but not chloroquine use reduces ICU admission in COVID-19 patients.	positve	2021-01-21 15:24:06
418	Controlled, double-blind, randomized trial to assess the efficacy and safety of hydroxychloroquine chemoprophylaxis in SARS CoV2 infection in healthcare personnel in the hospital setting: A structured summary of a study protocol for a randomised controlled trial.	neutral	2021-01-21 15:24:54
278	Pharmacokinetic Basis of the Hydroxychloroquine Response in COVID-19: Implications for Therapy and Prevention.	neutral	2021-01-21 15:24:59
654	Hydroxychloroquine (HCQ) is currently being examined for COVID-19.	neutral	2021-01-21 15:25:04
263	Around the world, several dose regimens of hydroxychloroquine have been used for COVID-19 infection treatment, with the objective of identifying a short-term course.	positve	2021-01-21 16:26:01
102	Chloroquine and hydroxychloroquine have shown in vitro inhibition of SARS-CoV-2, but studies on their clinical efficacy and whether the benefits outweigh the risk of dysrhythmias remain inconclusive.	neutral	2021-01-21 16:26:20
483	Motivated by a non-randomized open-label study investigating the efficacy of hydroxychloroquine in patients with COVID-19, we describe in a unified fashion various alternative approaches to the analysis of non-randomized studies.	neutral	2021-01-21 16:27:17
305	The current pharmacotherapies for COVID-19 largely rely on supportive and anti-thrombi treatment and the repurposing of antimalarial and antiviral drugs such as hydroxychloroquine and remdesivir.	positve	2021-01-21 16:27:54
258	Repurposing of drugs from different pharmacological groups including antivirals like remdesivir, lopinavir, ritonavir, arbidol, oseltamivir, penciclovir, favipiravir, ganciclovir, and ribavirin; other antibiotics like azithromycin, ivermectin, eravacycline, valrubicin, streptomycin, nitazoxanide, teicoplanin, caspofungin, and colistin; and other agents like hydroxychloroquine, chloroquine, tocilizumab, camostat, nafamostat, carfilzomib, interferon, aprepitant, and dexamethasone can be considered for COVID-19 therapy.	positve	2021-01-21 16:28:21
303	The aim of the study was to describe ECG modifications and arrhythmic events in COVID-19 patients undergoing hydroxychloroquine (HCQ) therapy in different clinical settings.	neutral	2021-01-21 16:28:36
229	Use of hydroxychloroquine and chloroquine in COVID-19: How good is the quality of randomized controlled trials?	neutral	2021-01-21 16:28:41
545	Hydroxychloroquine is an agent used as a treatment but also considered as a prophylaxis for SARS-CoV-2 infection.	positve	2021-01-21 16:28:53
256	The well reported and clinically used anti-malarial aminoquinoline drugs (chloroquine and hydroxychloroquine) have shown potential to be repurposed to control the present pandemic by inhibition of COVID-19.	positve	2021-01-21 16:29:07
15	Hydroxychloroquine, with or without azithromycin, has been considered as a possible therapeutic agent for patients with coronavirus disease 2019 (COVID-19).	positve	2021-01-21 16:29:16
670	Clinical efficacy of hydroxychloroquine in patients with covid-19 pneumonia who require oxygen: observational comparative study using routine care data.	neutral	2021-01-21 16:29:23
384	Nous décrivons la conception d’une étude clinique examinant l’utilisation d’hydroxychloroquine en tant que prophylaxie post-exposition (PPE) et de traitement préventif (TP) pour la COVID-19.	neutral	2021-01-21 16:29:48
379	Receipt of any experimental treatment for 2019-nCoV (off-label, compassionate use, or trial related) within 30 days prior to participation in the present study or want to participate after enrolment INTERVENTION AND COMPARATOR: Two therapeutic interventions for non-severe category and three for severe category as described below NON-SEVERE TREATMENT ARMS (NS-GROUP): Treatment Arm Drug A Standard Treatment (STNS) B Hydroxychloroquine 400 mg twice on first day followed by 400 mg per oral daily for 10 days + Ribavirin (1.2 g orally as a loading dose followed by 600mg orally every 12 hours) for 10 days + Standard Treatment (STNS) Standard Treatment for non-severe cases (STNS): Strict Isolation, Standard Precautions (Hand hygiene, Cough Etiquette, Wear surgical mask), Hydration, Proper Nutrition, Supportive Pharmacotherapy (Antipyretic, Antiallergic, Cough Suppressant), Treatment of Comorbid Diseases, Oseltamivir (75 mg BD) for patients who are tested positive for H1N1.	neutral	2021-01-21 16:30:57
13	Among patients hospitalized with Covid-19, those who received hydroxychloroquine did not have a lower incidence of death at 28 days than those who received usual care.	negative	2021-01-21 16:31:07
538	Hydroxychloroquine and chloroquine: a potential and controversial treatment for COVID-19.	neutral	2021-01-21 16:31:12
535	However, delirium is expected to be a more likely etiology of neuropsychiatric symptoms in critically ill patients treated for coronavirus disease-2019, and adjustment disorder is a much more likely etiology of anxiety and depression symptoms than the side effects of chloroquine or hydroxychloroquine.	neutral	2021-01-21 16:31:57
84	Efficacy of hydroxychloroquine for post-exposure prophylaxis to prevent severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection among adults exposed to coronavirus disease (COVID-19): a structured summary of a study protocol for a randomised controlled trial.	neutral	2021-01-21 16:32:08
80	Following the demonstration of the efficacy of hydroxychloroquine against severe acute respiratory syndrome coronavirus 2 in vitro, many trials started to evaluate its efficacy in clinical settings.	positve	2021-01-21 16:32:56
17	Among 1438 hospitalized patients with a diagnosis of COVID-19 (858 [59.7%] male, median age, 63 years), those receiving hydroxychloroquine, azithromycin, or both were more likely than those not receiving either drug to have diabetes, respiratory rate >22/min, abnormal chest imaging findings, O2 saturation lower than 90%, and aspartate aminotransferase greater than 40 U/L.	neutral	2021-01-21 16:34:17
34	French Confirmed COVID-19 patients were included in a single arm protocol from early March to March 16th, to receive 600mg of hydroxychloroquine daily and their viral load in nasopharyngeal swabs was tested daily in a hospital setting.	neutral	2021-01-21 16:34:34
573	The growing coronavirus disease 2019 (COVID-19) pandemic initially led to widespread use of hydroxychloroquine sulfate as an off-label experimental treatment of this disease.	neutral	2021-01-21 16:34:48
711	Recent attention on the possible use of hydroxychloroquine and chloroquine to treat COVID-19 disease has potentially triggered a number of overdoses from hydroxychloroquine.	negative	2021-01-21 16:35:11
74	Does zinc supplementation enhance the clinical efficacy of chloroquine/hydroxychloroquine to win today's battle against COVID-19?	neutral	2021-01-21 16:35:41
204	Therefore, it is likely that hydroxychloroquine treatment may in fact impair host immunity in response to SARS-CoV-2, especially in elderly patients or those with co-morbidities.	negative	2021-01-21 16:37:20
20	Hydroxychloroquine and chloroquine in COVID-19: should they be used as standard therapy?	neutral	2021-01-21 16:37:24
501	Using a combination of enhanced sampling molecular dynamics techniques and non-equilibrium alchemical transformations with full atomistic details, we have shown that hydroxychloroquine (HCQ) may act as a mild inhibitor of important functional proteins for SARS-CoV2 replication, with potency increasing in the series PLpro, 3CLpro, RdRp.	positve	2021-01-21 16:37:54
679	Hydroxychloroquine treatment in COVID-19: A descriptive observational analysis of 30 cases from a single center in Wuhan, China.	neutral	2021-01-21 16:38:04
